Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
Coiffure,CLAIRE LE GUET (RIVOALLAN) (CLAIRE COIFFURE),1996-06-01,18 RUE DU CLEUMEUR 22160 CALLAC,22160,CALLAC,22,,,,407727148,96.02A
Soins de beauté / esthétique,STEPHANIE VERMEIL,1996-04-02,18 BOULEVARD MARINONI 06310 BEAULIEU-SUR-MER,06310,BEAULIEU-SUR-MER,06,,,,404577611,96.02B
Coiffure,COIFFURE PARIS,1996-03-01,72 GRANDE-RUE 25000 BESANCON,25000,BESANCON,25,,,,404464000,96.02A
Coiffure,GCS,1996-03-01,37 RUE DU PRESIDENT POINCARE 57500 SAINT-AVOLD,57500,SAINT-AVOLD,57,,,,404529885,96.02A
Soins de beauté / esthétique,VERICA VALLIER (ILIC),1996-03-01,14 RUE BOLTAR 31600 SEYSSES,31600,SEYSSES,31,,,,403900541,96.02B
Soins de beauté / esthétique,ARMANDE BUZENOT (INSTITUT DE BEAUTE AURORE),1996-01-24,35 LOTISSEMENT LES LILAS 97440 SAINT-ANDRE,97440,SAINT-ANDRE,974,,,,403613375,96.02B
Coiffure,JOUBERT ATLANTIQUE SARL,1996-01-02,35 RUE DES DAMES 10 RUE THIERS 17000 LA ROCHELLE,17000,LA ROCHELLE,17,,,,404350381,96.02A
"Entretien corporel (spa, hammam...)",ASSOCIATION SERENITE,1996-01-02,LA TREMBLAYE 28160 BROU,28160,BROU,28,,,,403744998,96.04Z
Coiffure,SANDRINE DURUPT,1995-12-12,14 RUE PAILLOT DE MONTABERT 10000 TROYES,10000,TROYES,10,,,,403207509,96.02A
Coiffure,UN COIFFEUR EN PLUS,1995-12-03,6 RUE DES LINIERS 59400 CAMBRAI,59400,CAMBRAI,59,,,,403045792,96.02A
Coiffure,AJC COIFFURE,1995-10-10,14 PLACE ROGUET 31300 TOULOUSE,31300,TOULOUSE,31,,,,402892871,96.02A
Soins de beauté / esthétique,CORINNE HANN (WERNICKE) (CHIC'ISSIME),1995-10-02,150 ROUTE DE BALE 68000 COLMAR,68000,COLMAR,68,,,,402336358,96.02B
"Entretien corporel (spa, hammam...)",MARTIAL MATTARD,1995-10-02,1016 RUE DU CHAMP DES OISEAUX 76230 BOIS-GUILLAUME,76230,BOIS-GUILLAUME,76,,,,402380992,96.04Z
Soins de beauté / esthétique,FLAVIA CORTESE (RIVIERA),1995-09-05,LE RIVIERA PALACE 39 T BD CIMIEZ 06000 NICE,06000,NICE,06,,,,402161830,96.02B
Soins de beauté / esthétique,ANNE ALLIET ROUSSET (ALLIET),1995-09-05,7 B AVENUE ROGER SALENGRO 30200 BAGNOLS-SUR-CEZE,30200,BAGNOLS-SUR-CEZE,30,,,,402335467,96.02B
Coiffure,RGBD CONCEPT,1995-08-28,24 BOULEVARD DE LA PAIX 51100 REIMS,51100,REIMS,51,,,,402067979,96.02A
Soins de beauté / esthétique,CLAUDIE TARROU (VASSET),1995-08-02,55 BOULEVARD SAINT SEBASTIEN 83700 SAINT-RAPHAEL,83700,SAINT-RAPHAEL,83,,,,402317580,96.02B
"Entretien corporel (spa, hammam...)",FRANCOISE VALLANCE (BORAK),1995-07-25,33 RUE CARNOT 77210 AVON,77210,AVON,77,,,,402992911,96.04Z
Soins de beauté / esthétique,ANNABELLE LEFEVRE (PINCHON),1995-07-10,14 RUE DES 2 LIEUTENANTS 02640 SAINT-SIMON,02640,SAINT-SIMON,02,,,,402482657,96.02B
Coiffure,PATRICK SAUBAL COIFFURE,1995-06-23,PARC AVENUE BATIMENT E 596 BOULEVARD ALBERT CAMUS 69400 VILLEFRANCHE-SUR-SAONE,69400,VILLEFRANCHE-SUR-SAONE,69,,,,401441225,96.02A
Soins de beauté / esthétique,SABINE FONTAINE,1995-06-06,286 GRANDE RUE DU PETIT COURGAIN 62100 CALAIS,62100,CALAIS,62,,,,402021422,96.02B
Coiffure,CDHS,1995-05-03,CTRE CIAL LECLERC - ROCADE NORD RUE MONT DES BRUYERES 59230 SAINT-AMAND-LES-EAUX,59230,SAINT-AMAND-LES-EAUX,59,,,,401496336,96.02A
Coiffure,DIAGONAL METZ,1995-03-01,24 RUE DE LADOUCETTE 57000 METZ,57000,METZ,57,,,,401051966,96.02A
Coiffure,CHRISTINE PEDRO,1995-01-15,28 RUE GABRIEL PERI 31000 TOULOUSE,31000,TOULOUSE,31,,,,399756659,96.02A
Coiffure,FRANCK PROVOST SALONS,1995-01-01,104 AVENUE CHARLES DE GAULLE 92200 NEUILLY-SUR-SEINE,92200,NEUILLY-SUR-SEINE,92,,,,402262752,96.02A
Coiffure,SARL PHYROMA,1994-11-29,CHEMIN DU BRIOU AUX ROGERETS 54 CHEMIN DES ROGERETS 18230 SAINT-DOULCHARD,18230,SAINT-DOULCHARD,18,,,,399142058,96.02A
Coiffure,AGNELE ATIKOSSIE,1994-11-21,10 PL JULES VALLES 91000 EVRY-COURCOURONNES,91000,EVRY-COURCOURONNES,91,,,,398953265,96.02A
Coiffure,SYLVIANE DORCHY (VANDENHOEKE),1994-11-02,152 RUE DE DOUAI 59165 AUBERCHICOURT,59165,AUBERCHICOURT,59,,,,398652040,96.02A
"Entretien corporel (spa, hammam...)",PAULETTE TABI NGA MVONDO,1994-07-01,58 RUE DES JARDINIERS 67000 STRASBOURG,67000,STRASBOURG,67,,,,398650135,96.04Z
